Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ParcelCount,API_Command_java_lang_Runtime_exec,API_WebView_android_webkit_WebView_loadUrl,API_Database_android_database_sqlite_SQLiteDatabase_execSQL,API_Database_android_database_sqlite_SQLiteDatabase_getPath,API_Database_android_database_sqlite_SQLiteDatabase_insert,API_Database_android_database_sqlite_SQLiteDatabase_insertWithOnConflict,API_Database_android_database_sqlite_SQLiteDatabase_rawQuery,API_Database_android_database_sqlite_SQLiteDatabase_rawQueryWithFactory,API_Database_android_database_sqlite_SQLiteDatabase_updateWithOnConflict,API_IPC_android_content_ContextWrapper_sendBroadcast,API_IPC_android_content_ContextWrapper_startActivity,API_IPC_android_content_ContextWrapper_registerReceiver,API_Binder_android_app_ContextImpl_registerReceiver,API_Crypto_javax_crypto_spec_SecretKeySpec_$init,API_Crypto_javax_crypto_Cipher_doFinal,API_Crypto-Hash_java_security_MessageDigest_digest,API_Crypto-Hash_java_security_MessageDigest_update,API_DeviceInfo_android_telephony_TelephonyManager_getDeviceId,API_DeviceInfo_android_telephony_TelephonyManager_getSubscriberId,API_DeviceInfo_android_telephony_TelephonyManager_getLine1Number,API_DeviceInfo_android_net_wifi_WifiInfo_getBSSID,API_Network_java_net_URL_openConnection,API_DexClassLoader_dalvik_system_BaseDexClassLoader_findResource,API_DexClassLoader_dalvik_system_DexFile_loadClass,API_Base64_android_util_Base64_decode,API_Base64_android_util_Base64_encode,API_Base64_android_util_Base64_encodeToString,API_SystemManager_android_app_ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android_app_NotificationManager_notify,API_DeviceData_android_content_ContentResolver_query,API_DeviceData_android_content_ContentResolver_registerContentObserver,API_DeviceData_android_os_SystemProperties_get,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Logcat_debug,Logcat_info,Logcat_warning,Logcat_error,Logcat_verbose,Logcat_total,label
99798,41316,10744,45748,96772,42928,27122,22723,4398,18,47,0,44,3,100,0,0,69,69,0,16,0,182,173,132,131,115,64,26,12,0,0,1,0,0,0,12,12,0,0,0,200,70,4348,16,6004,20,3147,1125,3720,1576,4193,13761,2
65242,6248,10712,52284,83196,6312,24613,18954,5658,359,34,0,0,2,29,0,14,25,27,0,0,0,0,0,0,0,46,23,0,0,0,0,4,0,0,0,8,8,0,0,0,0,26,2167,13,3071,24,4083,3756,1956,2142,1502,13439,3
95808,37868,10760,44436,103572,39636,19460,16253,3206,9,45,0,32,10,82,0,0,59,59,0,12,0,132,124,99,98,116,69,29,12,0,0,2,0,0,0,12,12,0,0,0,128,53,3036,14,4480,16,3106,1558,2963,1258,3641,12526,2
44284,524,10652,41004,50016,536,16916,13140,3775,0,34,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,23,1,0,0,0,0,1,0,0,0,2,983,11,890,12,3095,2031,1516,793,2155,9590,23
69565,3368,10720,57960,77504,3388,22561,16707,5853,135,25,0,0,1,175,0,0,112,170,1,0,0,2,4,0,0,20,10,0,0,0,0,8,0,0,0,1,1,0,0,0,6,7,3192,24,3216,29,1528,2202,2299,5253,743,12025,45
34885,7108,10224,17596,68508,7120,5381,3925,1455,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1501,12111,877,3432,2287,20208,25
94136,25440,10984,60080,85492,26792,37058,30934,6123,235,78,0,0,4,8,0,0,0,6,0,0,0,24,25,0,0,18,9,0,0,0,0,0,0,0,0,1,1,0,0,6,27,9,1299,15,1963,15,1452,2214,1614,1856,6320,13456,45
52876,5240,12808,35284,90300,6824,17647,14961,2685,68,18,0,0,0,0,0,0,0,0,0,6,6,2,4,0,0,0,0,39,38,0,0,19,26,0,0,0,0,0,0,12,0,19,0,0,4860,81,3177,847,3967,1735,2466,12192,7
49634,9428,12180,32212,88004,9448,17532,14872,2659,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,30,16882,75,8773,90,2918,1244,1512,7771,4379,17824,3
40287,3124,10944,28188,87060,5468,14279,12103,2175,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1440,12,1938,12,2593,891,1889,1546,2672,9591,25
19769,5084,10536,4084,62192,5220,5154,3537,1616,0,14,165,0,3,8,0,0,5,6,0,10,0,109,220,0,0,126,449,118,118,2,0,8,0,0,52,3,3,0,0,6,4,54,356474,266,11543,165,1189,1519,3248,3387,4177,13520,2
94837,23160,10844,52732,114020,23508,22909,18932,3976,5,51,0,2,0,0,0,0,0,0,0,0,0,79,107,149,149,324,3972,9,0,0,1,9,2,0,448,44,44,0,0,52,60,58,0,0,0,0,2100,1474,825,2087,1869,8355,3
68749,15460,8500,31092,83356,17860,19029,15381,3647,188,38,0,0,18,45,0,0,38,38,0,0,4,0,0,5,0,24,24,34,0,0,0,35,52,0,0,0,0,0,0,0,0,16,12812,115,36545,373,4341,2649,1518,2451,542,11501,23
70276,4676,10588,57588,77176,4744,26543,21744,4798,199,34,0,0,4,9,1,1,3,3,0,0,0,8,16,0,0,93,47,1,0,0,0,0,4,0,0,0,0,0,0,0,0,10,11401,24,2717,30,605,1760,5701,1913,1526,11505,113
105470,22832,8444,68176,71572,23516,46872,41001,5870,155,47,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,187,147,11,0,0,0,15,0,0,56,1,1,0,0,0,24,6,23692,138,28953,137,1474,2703,2071,1512,501,8261,3
75068,4956,10584,54652,105844,5160,39803,31028,8774,214,44,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,3,4,0,0,0,0,0,0,0,0,7,7,0,0,0,2,10,70339,27,1603,29,17690,1490,691,3053,2319,25243,3
111595,16348,12160,80960,85784,20868,40796,32662,8133,188,54,25,0,3,3,0,0,1,1,0,0,0,27,27,0,0,58,41,27,18,0,0,3,0,0,0,6,6,0,0,0,118,21,3490,13,6654,98,3553,659,3062,2295,1779,11348,64
34916,7092,10288,17560,66084,7100,5358,4140,1217,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4302,5037,2250,1173,1516,14278,250
58228,1780,10852,48304,74576,3280,24183,19950,4232,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1364,4,414,5,497,1518,1480,1721,2121,7337,25
34408,3316,10504,21684,64524,3328,6787,4126,2660,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,9,0,0,0,0,710,2101,1486,8846,1592,14735,25
32024,2312,14048,24228,77344,2320,7914,4717,3196,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,1515,2783,2875,3375,11823,41
50341,5344,12568,32808,99048,7204,17399,14386,3012,34,14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,21,20,0,0,10,13,0,0,0,0,0,0,4,0,10,0,0,2880,48,1646,3131,3606,1136,3064,12583,7
97368,2944,10692,88024,85596,2980,32843,25749,7093,258,64,0,0,16,18,0,0,17,17,0,4,14,0,0,0,0,0,0,142,346,0,0,16,31,0,0,0,0,0,0,208,25,17,0,0,8580,143,4510,1729,3120,918,3711,13988,67
78774,6268,8768,52532,104516,6284,39354,36232,3121,25,16,0,0,57,147,0,0,36,36,0,0,0,12,24,24,24,24,24,0,0,0,0,0,12,0,0,0,0,0,0,0,0,135,0,0,3960,66,3166,2315,3499,1505,1584,12069,39
52374,2232,11208,37768,75976,6908,22591,17960,4630,210,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2954,719,2852,1771,2165,10461,15
62338,7572,12028,38712,87096,13168,16021,13154,2866,13,25,0,0,0,0,0,0,0,0,0,7,0,0,0,118,118,0,0,130,24,52,10,13,15,0,0,0,0,0,0,0,0,8,3174,41,5136,57,2914,5048,1466,2747,846,13021,15
80472,3140,10896,64780,92652,8112,21726,15506,6219,210,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,0,0,0,0,12,0,0,0,0,0,0,0,0,17,4444,68,11971,72,3415,2075,1740,3379,651,11260,15
143090,42932,10744,79220,117044,43772,38343,31347,6995,36,73,0,6,0,0,0,0,0,0,0,0,0,97,120,149,149,81,90,0,0,0,0,3,0,0,470,7,7,0,0,28,80,19,122994,110,5319,80,2033,1510,966,2628,2250,9387,3
86922,16564,10852,53788,122144,16688,29007,22304,6702,30,84,0,3,0,0,0,0,0,0,0,0,0,111,136,200,200,145,364,0,0,0,0,1,0,0,434,28,28,0,0,42,2,33,126574,112,7786,120,2802,3182,3388,1727,1073,12172,39
31905,3124,10956,17356,70756,3140,16355,12885,3469,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,931,3285,2230,1978,9900,41
89880,36024,10728,40512,92900,38168,22373,17622,4750,56,40,0,0,0,0,0,0,0,0,0,0,0,40,37,0,0,21,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,718,11,2417,21,1578,944,3993,5954,2270,14739,3
96141,34420,10672,49712,92948,35264,24474,20968,3505,9,43,0,29,3,64,0,0,43,43,0,10,0,109,103,88,87,93,54,21,10,0,0,1,0,0,0,9,9,0,0,0,140,48,1476,6,2026,7,2655,966,1533,2959,3541,11654,2
49582,4808,12704,33588,98392,6384,17422,14265,3156,34,14,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,0,25,24,0,0,12,15,0,0,0,0,0,0,4,0,12,0,0,2760,46,3048,2744,1014,2746,1647,11199,7
44428,11084,10620,19272,67308,11112,6826,5080,1745,0,10,119,0,2,6,0,0,5,5,0,3,0,78,143,44,43,57,209,78,86,2,0,4,0,0,32,2,2,0,0,10,2,37,1292,12,2775,17,3506,1095,2814,1501,3010,11926,2
5911,444,10680,2956,65068,580,7703,4544,3158,0,12,0,7,10,40,0,0,24,24,0,2,0,21,21,26,25,57,41,21,16,2,0,3,0,0,166,68,66,0,0,0,22,21,0,0,0,0,2545,4205,1615,3637,1592,13594,2
122207,33920,8164,73000,88216,35452,49592,42992,6599,154,44,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,194,144,6,0,0,0,31,2,0,56,1,1,0,0,0,26,8,46362,283,57263,270,695,2918,2032,1514,3095,10254,3
38280,6900,10568,20236,76212,7032,6868,4136,2731,0,10,112,0,3,8,0,0,5,6,0,3,0,64,128,0,0,56,209,71,71,2,0,3,0,0,32,2,2,0,0,4,2,32,1208,10,2647,13,2760,3125,3181,1513,1230,11809,2
53708,8752,11344,34564,79480,8800,15363,11557,3805,37,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,39,5432,28,3577,35,2986,905,1525,3628,2270,11314,20
64853,15356,8536,32484,96836,15560,25502,21251,4250,21,35,0,0,38,191,0,0,0,94,0,0,0,0,0,634,56,0,0,5,20,0,0,0,5,0,0,0,0,0,0,0,0,110,4120,34,4996,40,2541,1511,4298,3211,941,12502,15
31516,2716,12728,23512,68388,2728,7896,4777,3118,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2888,1517,3758,5776,1465,15404,7
81697,9908,9756,64028,72248,9984,30096,24182,5913,116,51,0,0,0,0,0,0,0,0,0,0,1,18,17,8,4,14,11,6,0,0,2,19,2,0,0,10,1,0,0,0,0,24,4689,19,8762,21,953,2768,1737,2840,1523,9821,181
99461,19364,10640,71048,105040,19924,34890,25879,9010,114,50,0,0,0,0,0,0,0,0,0,0,1,20,19,0,0,169,119,28,0,0,0,9,3,0,0,1,1,0,0,0,28,16,55869,125,18960,128,2102,3604,1518,759,2988,10971,3
51296,5648,11916,33236,89572,7596,17433,14420,3012,34,14,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,0,37,36,0,0,18,21,0,0,0,0,0,0,4,0,18,0,0,3780,63,3664,6157,1778,2959,1015,15573,7
56104,5776,10784,39700,102736,7756,17094,14365,2728,68,23,0,0,0,0,0,0,0,0,0,0,0,9,18,20,237,31,31,35,2,0,0,287,0,0,146,164,164,0,0,0,0,34,12960,324,22440,374,3116,1691,4810,1493,3562,14672,2
48270,2204,10780,38472,84100,2220,22217,16173,6043,73,25,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4060,10,1403,11,650,2949,2025,1521,3234,10379,23
64658,4140,10016,50760,68428,6920,22739,17884,4854,65,35,0,0,2,10,2,2,2,2,0,0,0,0,0,0,0,0,0,7,2,0,2,0,1,0,0,0,0,0,0,0,16,20,6889,67,13337,117,2455,575,1943,1791,1581,8345,15
43347,5880,11092,29948,86712,5896,20427,14426,6000,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4005,1180,2624,9966,1501,19276,2
30198,4212,9564,16748,70712,4224,5349,3743,1605,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998,1563,3289,1498,2951,12299,41
96358,39216,10748,44952,100796,40892,27865,22719,5145,18,44,0,27,13,84,0,0,59,59,0,9,0,140,133,0,0,57,44,25,8,0,0,3,0,0,0,9,9,0,0,0,142,49,2677,18,7107,19,2449,2841,1176,4537,1610,12613,2
92821,37016,10740,43100,100552,38632,19328,16164,3163,9,45,0,42,0,76,0,0,54,54,0,15,0,164,156,121,120,63,33,17,6,0,0,0,0,0,0,6,6,0,0,0,200,58,2952,12,4324,12,3159,1523,3428,1068,4499,13677,2
64320,1380,10736,54960,98236,1392,28079,22571,5507,258,18,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,33,32,0,0,16,32,0,0,0,0,0,0,30,0,16,0,0,5040,84,675,2916,4484,3031,1635,12741,7
30624,24,11056,26780,71504,28,8006,5809,2196,0,14,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2485,2645,802,1923,1502,9357,23
41001,8000,10692,19932,75640,8132,9929,5761,4167,8,14,103,0,2,6,0,0,5,5,0,3,0,63,126,0,0,56,208,71,72,2,0,2,0,0,30,2,2,0,0,4,2,32,695,7,2507,10,1914,1509,2390,1949,969,8731,2
113308,41400,10580,55268,109924,44864,30518,25090,5427,11,46,0,24,10,96,0,0,71,71,0,8,0,147,147,110,109,291,167,50,42,14,0,2,0,0,455,173,169,0,0,0,154,51,2038,12,4602,14,2465,2882,1681,3922,1461,12411,2
77921,15160,10592,48356,86400,21248,29171,23332,5838,450,42,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,16,16,7,0,0,0,6,0,0,0,0,0,0,0,0,0,5,1952,12,2605,12,12970,2255,1518,718,2393,19854,15
42172,5948,12492,24488,77352,5996,9222,6122,3099,7,19,0,34,10,98,0,0,69,69,0,11,0,197,188,26,25,57,41,29,14,2,0,2,0,0,52,16,13,0,0,0,204,62,2038,12,4546,12,3102,2939,1674,3904,1500,13119,2
140561,38384,10672,89288,80756,39252,40695,31922,8772,38,40,0,3,0,0,0,0,0,0,0,0,0,52,54,0,0,814,408,0,0,0,0,3,3,0,0,0,0,0,0,0,40,10,0,0,0,0,1513,1712,1533,909,2928,8595,20
45778,6900,12144,30936,98908,6920,15463,12793,2669,7,19,0,0,0,0,0,0,0,0,0,0,0,17,34,0,0,6,5,0,0,0,0,67,2,0,0,0,0,0,0,0,0,20,41595,232,25256,283,8388,1220,1504,5190,3408,19710,3
50702,4392,11032,37088,88980,5092,19343,16620,2722,46,8,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3232,2559,784,3823,1778,12176,36
92229,37600,10736,40260,94304,39160,19062,15952,3109,9,43,0,42,1,93,0,0,65,66,0,15,0,198,188,143,142,109,58,21,8,0,0,0,0,0,0,8,8,0,0,0,214,68,2912,11,4118,13,3327,4329,3557,1162,1583,13958,2
84127,34932,12096,36992,92820,36480,18457,15566,2890,9,40,0,34,10,85,0,0,60,60,0,11,0,143,139,54,53,110,70,31,20,6,0,2,0,0,137,55,51,0,0,0,148,52,2115,12,4630,13,3128,1640,2701,2704,1633,11806,2
83090,3632,10724,71160,91144,3648,21736,17322,4413,92,24,0,0,3,4,0,0,3,3,0,0,0,1,2,0,0,68,278,2,0,0,0,18,0,0,197,0,0,0,0,0,0,6,3649,5,441,6,1809,1513,2388,685,1815,8210,90
59126,3100,10600,48996,83756,3112,28202,17742,10459,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,0,20,2,2,0,0,0,0,0,0,0,0,1,7744,39,6453,52,1537,517,1806,2473,1581,7914,25
114221,33712,10652,70272,90092,34852,36349,29302,7046,121,42,0,14,0,0,0,0,0,0,0,0,0,29,29,0,0,212,127,0,0,0,0,17,2,0,0,0,0,0,0,0,20,5,0,0,0,0,1225,1512,1088,2826,2087,8738,31
101900,32916,10352,56296,98076,34532,38542,31822,6719,213,66,0,1,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,7,0,0,0,0,1879,600,2973,4006,1557,11015,134
208729,14888,10612,183144,89000,15404,58239,45426,12812,244,63,0,0,0,0,0,0,0,0,0,0,0,71,106,47,47,217,293,0,0,0,0,13,0,0,229,113,113,0,0,56,20,15,465762,525,54416,452,1686,2362,1529,1030,3269,9876,25
53801,6352,10876,39384,100444,6368,23249,20521,2727,40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,694,0,0,0,0,0,0,64,12303,53,5846,67,1515,3575,4459,10679,1657,21885,3
51434,5676,12748,32872,96548,7224,17433,14265,3167,34,14,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,0,25,24,0,0,12,15,0,0,0,0,0,0,4,0,12,0,0,3060,51,3244,4408,3051,900,1663,13266,7
90664,4544,10612,73844,97904,4604,36609,28100,8508,73,36,0,3,0,0,0,0,0,0,0,0,0,26,27,0,0,262,132,0,0,0,0,3,2,0,0,0,0,0,0,0,20,6,1906040,1970,178958,1630,869,1507,1852,2761,2377,9366,20
